,Event,Record Attendance,Record Week,This Week
1311,Lochore Meadows,344,19/05/2018,111
1312,Logan River,381,01/01/2018,193
1313,London Fields juniors,44,17/09/2023,33
1314,Lonehill,1289,20/01/2018,265
1315,Long Eaton,703,01/01/2019,
1316,Long Eaton juniors,173,05/05/2019,
1317,Longford,321,04/03/2017,41
1318,Longford juniors,255,01/10/2017,37
1319,Longrun Meadow,529,03/08/2019,
1320,Longrun Meadow juniors,192,11/06/2017,
1321,Longton juniors,90,16/07/2023,52
1322,Lordship Rec Ground juniors,54,16/07/2023,35
1323,Lordship Recreation Ground,290,05/11/2022,174
1324,Lota,444,01/01/2020,50
1325,Lough Key,335,21/01/2017,149
1326,Lough Key,335,28/01/2017,149
1327,Lough Key juniors,148,08/10/2023,94
1328,Lough Moss juniors,158,23/09/2018,65
1329,Louis Hamon Park,171,30/01/2021,35
1330,Louis Trichardt,142,09/02/2019,51
1331,Lower Drummans,63,30/11/2019,
1332,Lower Hutt,327,11/01/2020,182
1333,Lowestoft,566,20/04/2019,235
1334,"Løvstien, Bergen",52,01/05/2023,28
1335,"Løvstien, Bergen",52,05/08/2023,28
1336,Lubin,154,13/05/2017,20
1337,Ludlow,191,23/12/2017,74
1338,Luitpold,75,04/03/2023,37
1339,Lullingstone,254,12/01/2019,43
1340,Lurgan juniors,89,07/11/2021,49
1341,Lusk Sports Hub juniors,48,28/08/2022,25
1342,Luton Wardown,442,01/02/2020,177
1343,Lutterworth Country Park juniors,50,22/05/2022,15
1344,Lydiard,649,12/01/2019,260
1345,Lydiard juniors,177,17/05/2015,53
1346,Lydney,408,01/01/2020,53
1347,Lyme Park,385,01/01/2019,119
1348,Lymington Woodside,308,28/08/2021,
1349,Lynnfield,190,12/08/2023,
1350,Lytham Hall,548,01/01/2020,222
1351,Łódź,406,18/03/2023,116
1352,Maaraue,157,03/10/2023,61
1353,Maborikaigan yuhodo,72,28/11/2020,32
1354,Macclesfield,399,13/07/2019,207
1355,Mackay,374,11/01/2020,280
1356,Macroom Castle Demesne,137,08/07/2017,48
1357,MacRosty juniors,66,08/09/2019,24
1358,Maesteg,174,22/07/2017,41
1359,Magherafelt juniors,131,15/04/2018,50
1360,Magherafelt juniors,131,13/05/2018,50
1361,Maidenhead,965,05/11/2022,269
1362,Maidstone,553,01/01/2019,
1363,Main Beach,665,07/04/2018,232
1364,Maitland,510,29/02/2020,298
1365,Malahide,582,19/04/2014,232
1366,Malahide Castle juniors,325,30/06/2019,68
1367,Maldon Prom,438,18/01/2020,
1368,Maldon Prom juniors,128,22/05/2022,
1369,Maleny Trail,131,02/01/2021,55
1370,Mallards Pike,190,29/02/2020,75
1371,Malling,505,11/01/2020,215
1372,Mallow Castle,126,13/11/2021,47
1373,Mallow Castle juniors,99,25/06/2023,38
1374,Malmesbury,446,01/07/2017,102
1375,Malmö Ribersborg,287,06/06/2022,81
1376,Malvern Park juniors,133,25/06/2023,84
1377,Mały Jeziorak,171,26/11/2022,49
1378,Manjimup,63,25/05/2019,24
1379,"Manor Field, Whittlesey",283,28/10/2023,67
1380,Manor Park juniors,112,21/05/2017,38
1381,Mansfield,170,15/08/2015,86
1382,Mansfield Botanic,251,05/01/2019,61
1383,Mansfield OH,87,21/01/2017,21
1384,Mansfield QLD,594,05/10/2019,199
1385,Manzini,66,03/06/2023,15
1386,Mapetla,133,17/11/2018,19
1387,March,242,23/01/2016,92
1388,Marecchia,39,09/11/2019,20
1389,Margaret River,218,08/04/2023,110
1390,Margate,241,02/09/2023,83
1391,Margate juniors,65,27/10/2019,
1392,Maria Creek Reserve,100,08/04/2023,35
1393,Maribyrnong,443,29/02/2020,350
1394,Marina,103,07/09/2019,43
1395,Marine Parade,390,15/01/2022,175
1396,Markeaton,831,01/01/2020,349
1397,Markeaton juniors,124,04/08/2019,67
1398,Market Bosworth Country Park,398,24/12/2022,101
1399,Market Harborough,495,11/01/2020,222
1400,Market Harborough juniors,148,07/04/2019,69
1401,Market Rasen Racecourse,267,03/08/2019,180
1402,Markshall Estate,290,22/04/2023,192
1403,Marlay,795,21/01/2017,361
1404,Marlay juniors,262,14/01/2018,105
1405,Marlborough Common,202,20/04/2019,56
1406,Maroondah Dam,147,27/05/2023,43
1407,Marple,455,01/01/2019,138
1408,Marple juniors,124,07/05/2017,33
1409,Marriott Waters,225,09/12/2017,75
1410,Marshall Drive,119,23/02/2019,16
1411,Mary S. Young,58,21/10/2023,16
1412,Maryborough,209,01/01/2020,152
1413,Maryport Prom,128,29/10/2022,55
1414,Matlosana Bird,374,11/01/2020,
1415,Mattheiser Weiher,41,26/08/2023,26
1416,Mattilanniemi,50,27/05/2023,21
1417,Mawson Lakes,408,09/09/2023,262
1418,Máxima,206,29/02/2020,71
1419,Maylands Peninsula,160,19/03/2016,56
1420,Mbabane,186,09/02/2019,80
1421,McLean Beach,77,07/08/2021,31
1422,Meadowbrook,396,01/01/2018,105
1423,Meadowmill,173,09/02/2019,79
1424,Meadowvale,106,07/10/2023,69
1425,Medina I.O.W juniors,92,11/03/2018,14
1426,Medina I.O.W.,487,16/03/2019,161
1427,Medway juniors,124,21/05/2017,57
1428,Meijo koen,91,04/01/2020,41
1429,Melkbosstrand,937,28/07/2018,200
1430,Melksham,300,16/03/2019,84
1431,Mellowes Park juniors,73,23/01/2022,26
1432,Melton Mowbray,274,31/08/2019,135
1433,Memorial Park,77,22/10/2022,30
1434,Menai,257,23/03/2019,125
1435,Mendel Riverbank,117,06/05/2023,60
1436,Meningie,42,28/12/2019,11
1437,Mensola,67,16/09/2023,25
1438,Mernda,183,17/06/2017,84
1439,Merrymeeting,29,24/06/2023,18
1440,Merrymeeting,29,29/07/2023,18
1441,Merrymeeting,29,23/09/2023,18
1442,Mersea Island,203,09/06/2018,44
1443,Merthyr,155,22/04/2017,29
1444,Meyers Farm,829,09/02/2019,100
1445,Meyerton,859,18/11/2017,62
1446,Middleton Woods,282,01/01/2020,104
1447,Midstream,1367,13/01/2018,517
1448,Milano Nord,230,07/09/2019,169
1449,Mildenhall Hub,166,25/06/2022,54
1450,Mildenhall Hub juniors,59,29/10/2023,47
1451,Mildura Weir,269,02/03/2019,152
1452,Mile End,562,11/01/2020,312
1453,Mile End juniors,93,17/03/2019,35
1454,Miles,72,26/10/2019,22
1455,Milford Waterfront,234,01/01/2020,47
1456,Millbank Boating Pond juniors,53,21/08/2022,20
1457,Millennium,44,26/08/2023,
1458,Millennium Country,370,01/01/2020,113
1459,Millennium Green juniors,89,02/05/2021,44
1460,Millfield,220,24/12/2022,160
1461,Millfield juniors,54,01/10/2023,29
1462,Millhouses,511,19/10/2019,384
1463,Millom,162,26/02/2022,41
1464,Millwater,281,25/03/2023,249
1465,Milnrow Memorial Park juniors,67,30/06/2019,24
1466,Milton Country,647,27/01/2018,169
1467,Milton Keynes,1240,18/01/2020,452
1468,Milton Keynes juniors,230,21/06/2015,115
1469,Minehead,186,08/04/2023,105
1470,Minnippi,519,01/01/2019,389
1471,Mitchells Plain,557,21/01/2017,85
1472,Mitchelton,590,01/02/2020,371
1473,Miyagawa koen,27,24/06/2023,17
1474,Młynówka Królewska,183,30/09/2023,59
1475,Moana,248,01/01/2020,60
1476,Mobilong,34,17/08/2019,3
1477,Modimolle,254,19/01/2019,90
1478,Mofolo,348,28/07/2018,36
1479,Mogol,280,20/01/2018,144
1480,Moira juniors,159,18/10/2015,48
1481,Mole Valley,418,11/01/2020,148
1482,Momoi harappa koen,67,04/03/2023,
1483,Monaghan Town,153,12/10/2019,81
1484,Monrepos,112,03/10/2022,25
1485,Monsal Trail,457,20/04/2019,175
1486,Montrose,219,08/06/2019,116
1487,Montrose Foreshore,236,28/09/2019,177
1488,Montsouris,126,07/04/2018,
1489,Moora,58,11/02/2017,7
1490,Moormead juniors,157,12/05/2019,107
1491,Moors Valley,828,04/01/2020,389
1492,Moors Valley juniors,178,12/01/2020,98
1493,Morecambe Prom,506,01/01/2020,424
1494,Moree,57,07/04/2018,25
1495,Moreletapark Gemeente,336,29/04/2023,
1496,Mosman,118,04/01/2020,73
1497,Mote Park,351,05/11/2022,182
1498,Mount Ainslie,453,28/04/2018,185
1499,Mount Barker,374,23/03/2019,215
1500,Mount Beauty,71,06/01/2018,14
1501,Mount Edgcumbe,131,30/01/2016,36
1502,Mount Gambier,176,31/12/2022,133
1503,Mount Helena,234,23/06/2018,58
1504,Mount Isa,133,21/04/2018,62
1505,Mount Pleasant,55,16/01/2021,47
1506,Mount Stuart,220,25/02/2023,44
1507,Mountain Drive,375,02/02/2019,47
1508,Mountbellew Forest,146,05/11/2022,44
1509,Mountlucas,133,22/06/2019,43
1510,Moussette,61,28/10/2023,43
1511,Mowbray Park juniors,37,08/10/2023,28
1512,Mt Clarence,204,31/12/2022,120
1513,Mt Penang,215,06/01/2018,118
1514,Mthatha,153,13/07/2019,17
1515,Mtunzini,267,03/09/2022,52
1516,Mudgee,237,11/03/2017,91
1517,Mudgeeraba,314,28/10/2023,174
1518,Mudjimba Beach,361,07/01/2023,312
1519,Mullingar,190,08/02/2020,80
1520,Mullum Mullum,505,01/01/2020,195
1521,Muncaster Castle,131,16/09/2023,120
1522,Mundy,91,05/08/2023,51
1523,Mundy Regional,172,23/07/2022,35
1524,Mungret,208,08/09/2018,107
1525,Mura di Lucca,393,16/10/2021,
1526,MUSA Cookstown,310,07/12/2019,126
1527,Musgrave juniors,73,30/09/2018,16
1528,Myponga Reservoir,99,09/04/2022,7
1529,Myrtle,338,10/11/2018,117
1530,Naas,281,12/01/2019,125
1531,Nagaragawa koen,169,24/06/2023,48
1532,Nambour,261,01/01/2020,86
1533,Nansenparken,95,05/08/2023,36
1534,Nant y Pandy,262,01/01/2020,67
1535,Nantu Wama,262,25/03/2023,99
1536,Naracoorte Lake,99,06/04/2019,45
1537,Narin Beach,163,13/07/2019,18
1538,Narooma Wetlands,73,16/09/2023,40
1539,Narrabri,100,03/06/2017,62
1540,Narromine Wetlands,275,02/03/2019,27
1541,Nathalia Showgrounds,38,04/12/2021,21
1542,Nathalia Showgrounds,38,16/04/2022,21
1543,Nathan Road Sports Ground,161,09/10/2021,75
1544,Navan,261,14/01/2017,82
1545,Neckarau,112,04/01/2020,74
1546,"Neckarufer, Esslingen",104,03/10/2019,33
1547,Nepean River,355,09/11/2019,219
1548,Netley Abbey,511,01/01/2020,138
1549,Netley Abbey juniors,146,21/05/2017,
1550,New Earswick,228,23/07/2022,
1551,New Farm,598,14/09/2019,423
1552,New Milton juniors,79,18/04/2021,30
1553,New Ross,284,23/01/2016,52
1554,New York Central Fitness Trail,25,21/05/2022,12
1555,Newark,543,01/01/2020,143
1556,Newark juniors,344,17/02/2019,51
1557,Newbiggin-by-the-Sea,576,01/01/2020,172
1558,Newborough,213,25/02/2017,68
1559,Newborough Forest,341,01/01/2019,113
1560,Newbridge House juniors,127,23/04/2023,49
1561,Newbury,721,11/01/2020,295
1562,Newcastle Park,154,25/02/2023,41
1563,Newcastle West,83,25/01/2020,38
1564,Newent,138,01/06/2019,45
1565,Newport,711,23/01/2016,104
1566,Newport juniors,207,02/07/2017,85
1567,Newport Lakes,278,26/08/2017,89
1568,Newtown,246,08/07/2023,107
1569,Newy,801,07/06/2014,580
1570,Nhill,89,10/02/2018,28
1571,Nibe,36,01/06/2013,8
1572,Nidda,203,24/11/2018,90
1573,Nightcliff,324,28/01/2023,289
1574,Nkomazi,70,19/03/2016,13
1575,Nobles,259,23/09/2023,133
1576,Noel Booth Community,36,12/02/2022,18
1577,Nolen’s Park,68,11/02/2023,44
1578,Nonsuch,949,04/05/2019,316
1579,Nonsuch juniors,289,12/05/2019,166
1580,Noordwyk,213,26/03/2022,53
1581,Noosa,277,08/04/2023,238
1582,"Nordre Fælled, Randers",87,21/01/2023,22
1583,Norm-Hudlin Trails,410,22/01/2022,92
1584,Normanby Hall,741,01/01/2020,168
1585,North Bay,59,30/07/2022,33
1586,North Bay,59,29/07/2023,33
1587,North Beach,2527,20/01/2018,637
1588,North Harbour,222,25/11/2017,19
1589,North Lakes,398,12/01/2019,272
1590,North Marine juniors,110,15/01/2023,56
1591,North Shore,209,02/03/2019,50
1592,North Sydney,472,16/09/2023,288
1593,North Walsham,174,08/07/2023,57
1594,North Wollongong,646,09/09/2017,91
1595,North Yorkshire Water Park,282,08/04/2023,181
1596,Northala Fields,594,25/12/2019,151
1597,Northala Fields juniors,61,15/09/2019,41
1598,Northallerton,182,04/02/2023,138
1599,Northallerton juniors,115,24/06/2018,
1600,Northampton,727,29/02/2020,278
1601,Northampton Racecourse juniors,111,16/05/2021,
1602,Northlands juniors,38,03/09/2023,20
1603,Northlands juniors,38,17/09/2023,20
1604,Northparkes Oval,73,13/03/2021,33
1605,Northside Beltline,59,29/02/2020,27
1606,Northwich,474,01/01/2020,160
1607,Norton Common juniors,64,02/07/2023,40
1608,Norwich,1360,25/12/2019,480
1609,Nose Hill,131,02/09/2023,85
1610,Nostell,705,01/01/2018,185
1611,Nottingham Road,280,09/12/2017,21
1612,Nova Prestatyn,219,27/05/2023,136
1613,Nulkaba,491,05/05/2018,72
1614,Nuriootpa,94,28/01/2023,64
1615,Nursery Drive juniors,123,26/03/2023,45
1616,O’Connors Beach,117,06/05/2023,68
1617,Oak Hill,546,01/01/2020,202
1618,Oakey,223,30/09/2017,60
1619,Oaklands,262,25/01/2020,77
1620,Oaklands Estate Reserve,274,28/01/2023,184
1621,Oakwell Hall,451,12/01/2019,135
1622,Obersee,38,02/09/2023,19
1623,Oberwald,189,10/06/2023,92
1624,Ocean Grove,247,28/04/2018,104
1625,Ocean View,200,12/05/2018,27
1626,Ockwells juniors,134,23/06/2019,56
1627,Odakaryokuchi,201,07/12/2019,
1628,Offenthal,44,13/11/2021,30
1629,Ogród Saski,119,31/12/2022,57
1630,Ohio and Erie Canal Reservation,75,30/09/2023,59
1631,Oiso undokoen,33,21/10/2023,22
1632,Okanagan,152,07/07/2018,77
1633,Old Deer Park,553,06/04/2013,97
1634,"Old Railway Trail, Llangollen",249,17/06/2023,62
1635,Old Thomson River Road,105,06/02/2021,38
1636,Oldbridge,180,26/07/2014,69
1637,Oldham,513,01/01/2020,223
1638,Olsztyn,123,29/10/2022,97
1639,Omagh,279,08/10/2016,138
1640,Ome kyuryo,18,25/06/2022,6
1641,Onderstepoort Campus,514,12/08/2023,176
1642,Onley,18,01/07/2023,10
1643,Onley,18,14/10/2023,10
1644,Oosterhout,73,10/06/2023,20
1645,Oosterplas,91,28/10/2023,34
1646,Opole,110,05/05/2018,46
1647,Orange,394,07/03/2020,151
1648,Orangefield,433,01/01/2020,65
1649,Oranmore,310,14/01/2017,76
1650,Oranmore juniors,151,20/08/2017,54
1651,Örebro,199,13/04/2019,24
1652,Oriam,306,02/11/2019,183
1653,Orleans,75,01/07/2023,74
1654,Ormeau,640,01/01/2020,490
1655,Ormeau juniors,218,22/05/2016,58
1656,Ormskirk,465,01/01/2019,
1657,Orpington,396,30/10/2021,101
1658,Osborn MetroPark,58,15/07/2023,14
1659,Osterley,744,01/01/2020,209
1660,Osterley juniors,86,21/07/2019,34
1661,Ōtaki River,111,01/01/2022,28
1662,Oudtshoorn,163,20/04/2019,50
1663,Oughterard,96,03/02/2018,25
1664,Our Park,80,07/11/2020,27
1665,Ovens River Trail,78,08/04/2023,23
1666,Owairaka,234,29/04/2023,214
1667,Owairaka,234,24/06/2023,214
1668,Oxford,630,11/01/2020,219
1669,Oyodogawa shiminryokuchi,26,11/01/2020,12
1670,Paarl,835,01/02/2020,356
1671,Pabianice,73,26/03/2016,21
1672,Paddington Rec juniors,57,08/03/2020,20
1673,Padiham Greenway juniors,31,26/06/2022,23
1674,Page Park juniors,167,29/10/2017,130
1675,Pakapakanthi,558,11/01/2020,290
1676,Pakenham,299,01/01/2019,192
1677,Palacerigg Country,166,27/08/2022,69
1678,Pallara,318,01/01/2019,44
1679,Palmerston,144,17/02/2018,90
1680,Palmerston,144,01/01/2020,90
1681,Palmerston North,278,01/02/2020,187
1682,Pałac Książęcy,69,23/09/2023,38
1683,Panania,269,27/02/2016,99
1684,Panboola Wetlands,180,31/12/2022,53
1685,Panshanger,681,01/01/2020,115
1686,Par Track juniors,92,24/04/2022,56
1687,Paradise Point,399,11/02/2023,296
1688,Parc,35,14/05/2022,13
1689,Parc,35,13/08/2022,13
1690,Park Hill Recreation Ground juniors,80,21/05/2023,37
1691,Park im. Jana Pawła II,50,26/10/2019,6
1692,"Park Jana Pawła II, Rymanów-Zdrój",68,30/09/2023,48
1693,Park Lipowy,121,25/02/2023,28
1694,"Park Miejski, Łowicz",104,09/09/2023,57
1695,"Park Miejski, Sosnowiec",75,12/08/2023,53
1696,"Park Miejski, Wejherowo",116,22/06/2019,28
1697,Park Modrzewie,196,15/04/2023,20
1698,Park na Wyspie,100,25/01/2020,20
1699,Park Nadnyski,81,04/11/2023,81
1700,Park Radolińskich,86,19/03/2022,46
1701,Park View juniors,154,16/05/2021,53
1702,Park Wood juniors,56,11/06/2017,
1703,"Park Zdrojowy, Kudowa-Zdrój",44,10/08/2019,18
1704,Parke,241,24/12/2016,173
1705,Parkindula Reserve,140,17/06/2023,43
1706,Parkville,526,01/04/2023,443
1707,Parramatta,437,25/03/2023,285
1708,Patawalonga River,188,07/08/2021,116
1709,Pavilion Gardens,281,19/11/2022,192
1710,PE Hobie Beach,1141,13/01/2018,278
1711,Peace Valley,51,22/07/2023,23
1712,Peacehaven,340,01/01/2020,
1713,Peacehaven juniors,74,25/06/2017,36
1714,Peckham Rye,563,11/01/2020,303
1715,Peckham Rye juniors,134,26/02/2023,91
1716,Peel,475,10/06/2023,348
1717,Pegasus,247,21/04/2018,128
1718,Pegwell Bay,341,01/01/2020,
1719,Penallta,375,01/01/2020,119
1720,Penallta juniors,84,29/10/2017,30
1721,Pendle,173,01/01/2020,74
1722,Penistone,375,13/04/2019,
1723,Pennington Flash,334,01/01/2020,92
1724,Penrhyn,341,26/08/2017,189
1725,Penrith,451,01/01/2020,278
1726,Penrith Lakes,429,01/01/2020,53
1727,Penrose,462,01/01/2020,237
1728,Penryn Campus,117,06/11/2021,72
1729,Penticton,55,21/04/2018,23
1730,"People’s Park juniors, Halifax",70,25/06/2023,56
1731,"People’s Park juniors, Halifax",70,29/10/2023,56
1732,Peoples Park juniors,42,05/09/2021,
1733,Peppertree,232,29/02/2020,29
1734,Perrigo,154,24/11/2022,59
1735,Perry Hall,562,01/01/2019,87
1736,Perry Lakes,272,29/09/2018,174
1737,Perth,530,22/04/2023,
1738,Perth juniors,141,20/05/2018,36
1739,Peter Pan,677,01/01/2019,189
1740,Peter Pan juniors,162,30/04/2017,46
1741,Petrie,720,01/01/2020,105
1742,Phear Park juniors,111,21/08/2022,49
1743,Philips Park,394,25/03/2023,150
1744,Phillip Island,282,28/12/2019,135
1745,Phoenix,202,28/01/2017,89
1746,Phoenix juniors,31,20/10/2019,24
1747,Phoenix juniors,31,05/01/2020,24
1748,Phoenix Park,395,09/03/2019,
1749,Picnic Point Parklands,239,18/03/2023,34
1750,Picton,331,28/04/2018,67
1751,Piet Retief,216,02/03/2019,60
1752,Piet Retief,216,09/03/2019,60
1753,Piggly Wiggly,565,01/01/2020,166
1754,Pinehill juniors,157,21/05/2017,49
1755,Pinner Village Gardens juniors,121,21/05/2023,102
1756,Pioneer,189,12/01/2019,82
1757,Pioneer,189,11/01/2020,82
1758,Pirates Sport Club,50,16/09/2023,15
1759,Pitshanger juniors,144,16/09/2018,68
1760,Pittsworth,73,01/02/2020,
1761,Plantation,98,17/02/2018,20
1762,Plas Newydd juniors,115,29/10/2023,56
1763,Play Close Park juniors,63,11/09/2022,31
1764,Plean,300,18/11/2017,37
1765,Plymvalley,432,11/01/2020,163
1766,Pobalscoil na Tríonóide,135,15/01/2022,40
1767,Pocket,519,01/01/2019,160
1768,Point Cook,244,17/01/2015,113
1769,Point Hut Pond,275,11/02/2023,139
1770,Point Hut Pond,275,18/02/2023,139
1771,Pokkinen,38,11/09/2021,18
1772,Pole Mokotowskie,175,15/12/2018,59
1773,Polkemmet Country,251,01/01/2020,56
1774,Pollok,697,25/12/2019,328
1775,Polokwane,301,13/01/2018,85
1776,Pomphrey Hill,637,01/01/2018,276
1777,Pongola,104,10/08/2019,12
1778,Pont y Bala,138,27/05/2023,47
1779,Pontefract,613,01/01/2019,290
1780,Pontefract juniors,194,27/01/2019,37
1781,Pontypool,232,18/02/2023,50
1782,Pontypool juniors,99,10/05/2015,21
1783,Pontypridd,597,03/06/2023,255
1784,Pontypridd juniors,130,25/06/2023,
1785,Poolbeg,301,18/01/2020,176
1786,Poole,1345,25/12/2019,461
1787,Poolsbrook,625,01/01/2020,173
1788,Poppintree,246,29/02/2020,178
1789,Porch Field,244,11/03/2023,46
1790,Port Alfred,428,28/12/2019,111
1791,Port Augusta,80,24/06/2023,62
1792,Port Broughton,99,03/02/2018,9
1793,Port Fairy,154,28/12/2019,42
1794,Port Hedland,63,04/11/2017,11
1795,Port Lincoln,120,11/01/2020,66
1796,Port Macquarie,417,06/05/2023,241
1797,Port Rzeczny Sandomierz,43,21/10/2023,18
1798,Port Sorell,208,16/06/2018,95
1799,Portarlington,300,01/01/2020,72
1800,Porterstown,303,19/01/2019,77
1801,Porthcawl,669,08/04/2023,287
1802,Portland,149,21/05/2016,41
1803,Portobello,493,01/01/2020,221
1804,Portrack,58,27/08/2022,35
1805,Portrush,483,20/04/2019,241
1806,Portrush juniors,247,27/08/2017,57
1807,Portsmouth Lakeside,429,29/06/2019,241
1808,Portumna,78,31/03/2018,22
1809,Potternewton,362,01/01/2020,110
1810,Poznań,1111,27/12/2015,115
1811,Presint 18,505,23/09/2023,81
1812,Prestatyn Prom juniors,50,28/05/2023,22
1813,Preston,663,11/01/2020,526
1814,Preston Park,867,25/12/2019,381
1815,Preston Park juniors,187,06/03/2022,97
1816,Prestwick Oval juniors,70,21/08/2016,29
1817,Prießnitzgrund,89,17/06/2023,47
1818,Prince of Wales,174,19/11/2022,100
1819,Princes,695,13/05/2023,520
1820,Prinzenpark,42,14/05/2022,19
1821,Priory Park juniors,124,01/03/2020,80
1822,Progression,54,30/04/2022,43
1823,Prospect,293,09/06/2018,123
1824,Prudhoe Riverside,512,01/01/2020,125
1825,Prudhoe Riverside juniors,139,24/12/2017,30
1826,Pruszków,213,01/10/2016,61
1827,Puarenga,186,29/02/2020,129
1828,Puckapunyal,36,13/03/2021,12
1829,Puolarmaari,102,16/10/2021,32
1830,Puszcza Niepołomicka,133,29/04/2023,64
1831,Pymmes,193,07/03/2020,113
1832,Quakers Walk,351,16/09/2023,242
1833,Queanbeyan,226,29/04/2017,98
1834,Queen Elizabeth,424,01/01/2020,73
1835,"Queen Elizabeth, Casino",168,22/06/2019,39
1836,"Queen’s Parade juniors, Aldershot",186,24/03/2019,105
1837,"Queen’s Park juniors, Bolton",142,20/03/2022,30
1838,"Queen’s Park juniors, London",152,17/03/2019,92
1839,"Queen’s Park juniors, London",152,24/03/2019,92
1840,"Queen’s Park juniors, Rochdale",93,16/05/2021,33
1841,"Queen’s, Belfast",339,23/06/2018,118
1842,"Queen’s, Glasgow",313,19/10/2019,188
1843,Queens Domain,399,20/01/2018,253
1844,"Queens Park juniors, Crewe",120,16/05/2021,70
1845,Queenstown,215,31/12/2022,121
1846,Quinns Rocks,245,07/01/2017,116
1847,Railton,114,01/01/2018,59
1848,Railway Park,55,16/10/2021,9
1849,Ramsbottom juniors,99,03/03/2019,42
1850,Raphael,514,11/01/2020,216
1851,Raphael,514,25/01/2020,216
1852,Ravenswood Primary School juniors,23,24/09/2023,17
1853,Ravenswood Primary School juniors,23,08/10/2023,17
1854,Reading,622,14/09/2019,
1855,Rec Plex North,226,09/02/2019,64
1856,Red Point Church,216,12/08/2023,49
1857,Red Star,211,20/04/2019,
1858,Redcar,345,20/05/2023,161
1859,Redcar juniors,135,20/05/2018,32
1860,Redcliffe,723,16/09/2017,180
1861,Redland Bay,394,10/06/2017,102
1862,Reeuwijkse Hout,62,29/05/2023,30
1863,Reigate Priory,441,01/01/2020,199
1864,Reigate Priory juniors,194,08/09/2019,56
1865,Rendlesham Forest,143,12/08/2023,81
1866,Renmark,153,25/01/2020,57
1867,Renton,87,01/01/2020,29
1868,Reynella East,224,29/02/2020,107
1869,Rezerwat Strzelnica,125,29/02/2020,52
1870,Rheinaue,83,30/04/2022,83
1871,Rheinaue,83,04/11/2023,83
1872,Rheinpark,197,03/10/2022,31
1873,Rhodes,610,23/09/2023,458
1874,Richards Bay,428,13/08/2016,75
1875,Richmond Olympic,140,01/07/2023,80
1876,Richmond Park,913,01/01/2020,317
1877,Rickmansworth,726,18/01/2020,307
1878,Riddlesdown,295,16/09/2017,62
1879,Riemer,85,30/09/2023,57
1880,Rietvlei,2202,20/01/2018,720
1881,Ringsend juniors,38,10/09/2023,12
1882,Risdon Brook,241,13/01/2018,42
1883,Rising Sun,869,01/01/2019,238
1884,River Oaks,148,01/07/2023,39
1885,River Valley,265,07/01/2017,100
1886,River Valley juniors,88,07/08/2022,27
1887,"River Valley, Edmonton",80,01/07/2023,70
1888,Riverbank,333,19/10/2019,45
1889,Riverfront,628,01/01/2019,205
1890,Riverside,791,01/01/2020,350
1891,Riverside Gardens juniors,102,12/09/2021,52
1892,Riverside Gardens juniors,102,19/09/2021,52
1893,Riverside juniors,183,09/06/2019,92
1894,"Riverside juniors, Ballymoney",82,06/10/2019,28
1895,"Riverside juniors, St Neots",115,21/07/2019,
1896,Riverside Park,62,13/05/2023,23
1897,Riverside Walk,28,28/10/2023,
1898,"Riverside, Grand Rapids",106,08/07/2023,30
1899,"Riverside, Kamloops",56,30/09/2023,
1900,Riversley Park juniors,80,09/07/2023,40
1901,Riverway,417,10/03/2018,304
1902,Riviera on Vaal,430,27/10/2018,77
1903,Robelle Domain,431,08/10/2022,200
1904,Roberts Park,574,07/10/2023,391
1905,Robertson,524,12/05/2018,65
1906,Rock Creek Trail,96,01/07/2023,39
1907,Rockfield juniors,78,06/02/2022,14
1908,Rockhampton,427,18/03/2017,279
1909,Rockingham,389,17/03/2018,299
1910,Rocks Riverside,756,04/01/2020,425
1911,Roding Valley,228,12/01/2019,89
1912,Roding Valley juniors,108,15/09/2019,
1913,Rogiet,151,21/01/2023,76
1914,Rogiet juniors,58,08/10/2023,27
1915,Roma,103,07/03/2020,58
1916,Roma Pineto,133,07/10/2023,31
1917,Rondebosch Common,1085,16/02/2019,526
1918,Rondebult,283,07/10/2017,31
1919,Roodepoort,1449,20/01/2018,364
1920,Rooi Point Farm,119,09/09/2023,74
1921,Roosevelt Island DC,185,26/08/2023,120
1922,Rooty Hill,273,28/10/2023,208
1923,Ros Gregor Trail,134,12/10/2019,32
1924,"Rose, Lenasia",275,20/10/2018,118
1925,Rosebud,402,17/02/2018,218
1926,Rosehill Victoria juniors,33,20/03/2022,13
1927,Rosehill Victoria juniors,33,02/07/2023,13
1928,Rosensteinpark,97,17/06/2023,64
1929,Roses,473,24/02/2018,98
1930,Rosliston,743,01/01/2020,174
1931,Ross-on-Wye,301,03/08/2019,
1932,Rossmere juniors,43,15/04/2018,13
1933,Rostrevor,140,26/11/2016,
1934,Rothay Park,202,06/05/2023,157
1935,Rother Valley,578,18/01/2020,333
1936,Rotherham,298,26/03/2022,124
1937,Rothwell,678,01/01/2020,372
1938,Rouen,211,15/12/2018,
1939,Rouken Glen juniors,247,29/10/2017,95
1940,Roundhay,558,25/12/2019,353
1941,Roundhay juniors,188,21/05/2017,92
1942,Roundshaw Downs,508,29/04/2023,119
1943,Rouse Hill,297,01/12/2018,121
1944,"Royal Canal, Kilcock",288,13/04/2019,124
1945,Royal Tunbridge Wells,387,20/04/2019,153
1946,Rubbenbruchsee,71,13/01/2018,10
1947,Ruchill,155,15/04/2017,100
